10:30:01.034 [restartedMain] INFO  com.CompetencySystemApplication - Starting CompetencySystemApplication using Java 17.0.8.1 with PID 4732 (D:\Backuphost-25-09-2023\Feature\Test-Management\CompetencySystemProject\target\classes started by akshay.hole in D:\Backuphost-25-09-2023\Feature\Test-Management\CompetencySystemProject)
10:33:44.239 [http-nio-8080-exec-9] INFO  c.s.i.QuestionServiceImpl - Fetching all questions
10:33:52.913 [http-nio-8080-exec-2] INFO  com.controller.QuestionController - Deleting question with id: 11
10:33:52.913 [http-nio-8080-exec-2] INFO  c.s.i.QuestionServiceImpl - Deleting question with id: 11
10:33:54.459 [http-nio-8080-exec-3] INFO  com.controller.QuestionController - Fetching all questions
10:33:54.460 [http-nio-8080-exec-3] INFO  c.s.i.QuestionServiceImpl - Fetching all questions
10:33:56.389 [http-nio-8080-exec-5] INFO  com.controller.QuestionController - Deleting question with id: 13
10:33:56.389 [http-nio-8080-exec-5] INFO  c.s.i.QuestionServiceImpl - Deleting question with id: 13
10:33:57.904 [http-nio-8080-exec-6] INFO  com.controller.QuestionController - Fetching all questions
10:33:57.904 [http-nio-8080-exec-6] INFO  c.s.i.QuestionServiceImpl - Fetching all questions
10:36:19.072 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
10:36:19.078 [Thread-4] INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
10:36:19.108 [Thread-4] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
10:36:19.113 [Thread-4] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
10:36:19.127 [Thread-4] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
10:36:19.232 [restartedMain] INFO  com.CompetencySystemApplication - Starting CompetencySystemApplication using Java 17.0.8.1 with PID 4732 (D:\Backuphost-25-09-2023\Feature\Test-Management\CompetencySystemProject\target\classes started by akshay.hole in D:\Backuphost-25-09-2023\Feature\Test-Management\CompetencySystemProject)
10:36:19.232 [restartedMain] INFO  com.CompetencySystemApplication - No active profile set, falling back to 1 default profile: "default"
10:36:19.741 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
10:36:20.086 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 345 ms. Found 3 JPA repository interfaces.
